DATE,PRICE,OPEN,HIGH,LOW,VOLUME,CHANGE(%)
11 May 2023,573.45,572.20,580.00,572.00,16016715,0.22%
10 May 2023,572.20,575.00,575.00,563.25,18561315,-0.23%
09 May 2023,573.50,585.00,586.45,572.10,18959065,-1.73%
08 May 2023,583.60,577.65,587.60,577.35,12990869,1.23%
05 May 2023,576.50,580.20,588.25,575.05,18163461,-0.60%
04 May 2023,580.00,570.20,580.80,568.50,12533761,1.67%
03 May 2023,570.50,570.65,575.00,569.00,9699527,-0.83%
02 May 2023,575.30,580.00,580.85,573.15,13667511,-0.52%
28 Apr 2023,578.30,567.80,580.45,565.50,16183423,2.40%
27 Apr 2023,564.75,565.00,567.40,561.10,17845169,-0.28%
26 Apr 2023,566.35,562.00,567.00,556.45,23143882,0.81%
25 Apr 2023,561.80,555.00,567.90,555.00,38142390,1.30%
24 Apr 2023,554.60,543.80,555.55,543.50,23335611,2.11%
21 Apr 2023,543.15,545.00,546.40,539.70,22599418,-0.30%
20 Apr 2023,544.80,541.20,545.45,536.65,25588577,0.83%
19 Apr 2023,540.30,544.00,547.50,538.25,21156372,-1.02%
18 Apr 2023,545.85,545.35,548.50,540.50,22283456,0.34%
17 Apr 2023,544.00,528.00,545.00,528.00,32476990,2.07%
13 Apr 2023,532.95,529.30,534.25,527.15,28597560,0.90%
12 Apr 2023,528.20,533.20,534.00,526.00,21292441,-0.73%
11 Apr 2023,532.10,530.85,535.70,527.15,26414406,1.10%
10 Apr 2023,526.30,529.25,530.40,524.40,17335453,-0.26%
06 Apr 2023,527.65,524.00,533.70,521.65,25125879,0.89%
05 Apr 2023,523.00,527.00,527.60,519.05,13574801,-0.71%
03 Apr 2023,526.75,524.75,528.50,522.10,14210949,0.57%
31 Mar 2023,523.75,520.65,524.90,519.35,17356345,1.40%
29 Mar 2023,516.50,509.00,518.00,506.30,24203789,1.65%
28 Mar 2023,508.10,511.45,511.75,503.85,15833599,-0.40%
27 Mar 2023,510.15,507.00,514.15,501.55,15674218,0.95%
24 Mar 2023,505.35,514.50,514.95,503.45,14416984,-1.44%
23 Mar 2023,512.75,519.40,521.00,511.50,22097792,-1.69%
22 Mar 2023,521.55,522.20,527.00,520.10,11619538,-0.06%
21 Mar 2023,521.85,522.00,523.45,516.45,29485180,0.51%
20 Mar 2023,519.20,526.60,526.60,515.00,14275315,-2.00%
17 Mar 2023,529.80,528.65,531.60,520.10,18787379,1.01%
16 Mar 2023,524.50,518.40,529.35,514.30,20040008,1.34%
15 Mar 2023,517.55,529.80,532.00,515.55,11282329,-1.49%
14 Mar 2023,525.40,527.65,532.80,520.00,14750800,-0.87%
13 Mar 2023,530.00,547.00,553.15,528.45,14373729,-3.17%
10 Mar 2023,547.35,553.10,554.95,545.00,11522371,-2.07%
09 Mar 2023,558.90,564.75,565.75,558.00,8993423,-1.04%
08 Mar 2023,564.80,560.00,565.50,556.45,12637578,0.55%
06 Mar 2023,561.70,564.90,567.90,559.00,16162268,0.09%
03 Mar 2023,561.20,542.00,564.30,541.75,27656538,5.14%
02 Mar 2023,533.75,535.95,539.90,532.50,10376913,-0.55%
01 Mar 2023,536.70,523.25,537.40,523.10,13510198,2.66%
28 Feb 2023,522.80,527.25,528.45,521.05,15768010,-0.93%
27 Feb 2023,527.70,521.10,529.80,519.00,11048799,1.28%
24 Feb 2023,521.05,524.20,527.50,517.60,12253035,0.01%
23 Feb 2023,521.00,516.95,524.00,511.35,15535085,0.90%
22 Feb 2023,516.35,520.75,521.90,512.50,14763050,-1.36%
21 Feb 2023,523.45,527.10,528.95,522.40,10223218,-0.32%
20 Feb 2023,525.15,532.00,533.95,522.15,12570032,-1.10%
17 Feb 2023,531.00,538.50,539.65,527.75,14192008,-1.68%
16 Feb 2023,540.10,546.85,546.85,538.50,12767016,-0.40%
15 Feb 2023,542.25,540.00,544.65,536.80,12796579,0.26%
14 Feb 2023,540.85,539.95,544.60,530.75,18559909,0.62%
13 Feb 2023,537.50,554.00,556.90,533.30,18488732,-2.81%
10 Feb 2023,553.05,546.50,557.25,546.50,13824475,0.41%
09 Feb 2023,550.80,552.00,552.00,542.80,15061047,0.19%
08 Feb 2023,549.75,550.00,554.50,545.50,15502847,0.48%
07 Feb 2023,547.10,548.00,551.40,541.05,16195947,0.31%
06 Feb 2023,545.40,558.80,558.80,536.55,25338586,0.22%
03 Feb 2023,544.20,536.00,545.95,519.15,32317232,3.05%
02 Feb 2023,528.10,520.20,532.65,502.50,39287056,0.14%
01 Feb 2023,527.35,561.40,565.00,499.35,38218810,-4.72%
31 Jan 2023,553.50,545.00,557.00,537.85,21911943,2.84%
30 Jan 2023,538.20,536.00,554.35,525.20,40797825,-0.32%
27 Jan 2023,539.95,568.00,568.55,532.25,40163464,-5.06%
25 Jan 2023,568.70,595.85,595.85,567.40,25686294,-4.32%
24 Jan 2023,594.35,603.50,604.60,593.05,7609623,-1.02%
23 Jan 2023,600.45,598.50,601.75,592.95,6604469,1.39%
20 Jan 2023,592.20,593.80,596.60,590.80,6750607,0.40%
19 Jan 2023,589.85,591.00,591.75,587.55,7475688,-0.27%
18 Jan 2023,591.45,595.90,597.15,587.60,11538075,-0.25%
17 Jan 2023,592.95,603.00,606.00,586.05,13461999,-1.67%
16 Jan 2023,603.00,603.00,606.10,600.60,5483191,0.48%
13 Jan 2023,600.10,597.90,602.90,593.65,7877610,0.87%
12 Jan 2023,594.90,597.90,597.90,590.10,8183715,-0.30%
11 Jan 2023,596.70,596.45,599.50,592.25,7419630,0.26%
10 Jan 2023,595.15,608.45,609.00,590.60,10622660,-2.07%
09 Jan 2023,607.70,605.00,609.00,600.10,8878905,1.17%
06 Jan 2023,600.65,607.40,607.45,597.00,7972036,-0.74%
05 Jan 2023,605.10,607.00,611.60,601.95,8241475,-0.02%
04 Jan 2023,605.20,611.85,614.95,604.00,7011191,-1.18%
03 Jan 2023,612.40,614.50,616.60,610.00,6818062,0.03%
02 Jan 2023,612.20,614.95,619.20,611.20,6726084,-0.24%
30 Dec 2022,613.70,615.25,620.55,611.35,13052895,0.31%
29 Dec 2022,611.80,600.00,618.00,597.15,20130392,1.79%
28 Dec 2022,601.05,600.90,607.00,598.55,7988631,-0.14%
27 Dec 2022,601.90,600.40,603.10,593.30,9638618,0.80%
26 Dec 2022,597.10,574.00,601.70,570.70,13201587,4.02%
23 Dec 2022,574.00,590.00,590.70,571.50,13047046,-3.27%
22 Dec 2022,593.40,597.00,599.00,587.55,8740149,0.00%
21 Dec 2022,593.40,605.90,609.15,589.60,9217253,-1.83%
20 Dec 2022,604.45,603.00,606.50,599.55,6753785,0.00%
19 Dec 2022,604.45,604.00,609.50,603.00,8322012,0.18%
16 Dec 2022,603.35,612.00,615.60,602.10,9435071,-2.05%
15 Dec 2022,615.95,625.55,629.55,614.30,10622271,-1.53%
14 Dec 2022,625.50,618.50,626.75,617.50,14010673,1.42%
13 Dec 2022,616.75,613.50,617.40,612.50,7455415,0.60%
12 Dec 2022,613.05,614.80,618.70,611.00,9285187,-0.56%
09 Dec 2022,616.50,614.40,618.00,609.10,11202267,0.79%
08 Dec 2022,611.65,609.75,613.80,607.15,10020015,0.76%
07 Dec 2022,607.05,610.85,612.90,604.50,7613892,-0.31%
06 Dec 2022,608.95,614.75,619.80,607.80,12996244,-1.35%
05 Dec 2022,617.30,608.50,618.00,607.55,11585602,1.60%
02 Dec 2022,607.55,607.50,609.60,604.25,7533838,-0.09%
01 Dec 2022,608.10,607.85,609.80,601.55,14209313,0.94%
30 Nov 2022,602.45,608.50,611.40,598.40,15606230,-1.00%
29 Nov 2022,608.55,607.10,611.80,607.10,6942919,-0.01%
28 Nov 2022,608.60,605.60,610.90,602.35,7934274,0.20%
25 Nov 2022,607.40,610.55,613.70,606.25,9994513,-0.32%
24 Nov 2022,609.35,609.75,611.30,605.80,8960032,0.28%
23 Nov 2022,607.65,601.55,609.60,601.00,12435924,1.43%
22 Nov 2022,599.10,598.15,600.70,596.15,8048595,0.17%
21 Nov 2022,598.10,602.10,602.10,595.35,7412419,-0.76%
18 Nov 2022,602.70,601.00,605.75,597.15,12933675,0.61%
17 Nov 2022,599.05,599.10,602.75,596.15,8167131,-0.12%
16 Nov 2022,599.75,599.95,603.50,596.00,11555749,-0.18%
15 Nov 2022,600.85,594.30,602.10,592.65,10286417,1.40%
14 Nov 2022,592.55,603.95,603.95,591.65,12957268,-1.46%
11 Nov 2022,601.30,617.25,619.55,598.50,15525267,-0.73%
10 Nov 2022,605.75,613.10,615.10,602.20,11618405,-1.59%
09 Nov 2022,615.55,621.00,621.00,610.55,18939854,0.23%
07 Nov 2022,614.15,613.00,622.70,607.70,44265903,3.40%
04 Nov 2022,593.95,586.00,596.95,580.40,25759031,1.55%
03 Nov 2022,584.90,569.00,587.95,568.00,17557998,1.93%
02 Nov 2022,573.85,575.90,578.95,569.90,10241440,-0.53%
01 Nov 2022,576.90,576.35,585.75,574.60,12069579,0.54%
31 Oct 2022,573.80,574.95,577.45,568.40,9894639,0.53%
28 Oct 2022,570.75,579.95,582.65,567.00,10043644,-1.54%
27 Oct 2022,579.65,583.95,585.00,577.60,13613533,0.19%
25 Oct 2022,578.55,572.50,586.20,568.00,19899324,1.41%
24 Oct 2022,570.50,567.00,572.50,565.90,3692065,1.72%
21 Oct 2022,560.85,557.25,565.80,557.25,11767639,0.98%
20 Oct 2022,555.40,552.00,556.80,545.30,11225588,0.36%
19 Oct 2022,553.40,563.00,563.45,551.55,9540583,-1.61%
18 Oct 2022,562.45,547.10,563.50,546.75,20440781,3.46%
17 Oct 2022,543.65,526.40,544.70,524.20,13485349,3.12%
14 Oct 2022,527.20,530.20,534.85,526.00,8545479,1.10%
13 Oct 2022,521.45,533.00,533.80,520.20,12972765,-2.31%
12 Oct 2022,533.80,530.00,535.00,526.00,8522604,1.21%
11 Oct 2022,527.40,530.75,533.70,525.50,10825440,-0.63%
10 Oct 2022,530.75,525.70,533.90,522.20,9649292,0.10%
07 Oct 2022,530.20,535.50,535.60,526.55,11065307,-1.32%
06 Oct 2022,537.30,534.60,541.80,534.60,9507322,0.86%
04 Oct 2022,532.70,533.00,535.80,527.80,8745887,2.49%
03 Oct 2022,519.75,527.60,531.65,518.50,9351162,-2.04%
30 Sep 2022,530.60,524.00,536.90,516.15,17466950,1.70%
29 Sep 2022,521.75,529.00,535.70,519.55,17310168,-0.59%
28 Sep 2022,524.85,532.90,539.80,520.35,12233485,-2.17%
27 Sep 2022,536.50,544.55,550.90,533.20,11066799,-1.25%
26 Sep 2022,543.30,545.80,549.00,533.00,16158750,-1.33%
23 Sep 2022,550.60,564.80,568.00,549.50,12563239,-2.94%
22 Sep 2022,567.30,566.75,574.00,562.00,11869435,-0.42%
21 Sep 2022,569.70,575.00,577.30,565.40,9392526,-0.76%
20 Sep 2022,574.05,577.95,577.95,572.85,8484017,0.31%
19 Sep 2022,572.25,560.70,574.40,559.55,11194003,1.86%
16 Sep 2022,561.80,569.10,574.00,560.30,14739280,-1.81%
15 Sep 2022,572.15,572.55,578.50,567.90,12749947,0.07%
14 Sep 2022,571.75,550.00,574.85,549.25,21632641,2.46%
13 Sep 2022,558.00,560.00,560.00,553.75,16707275,0.56%
12 Sep 2022,554.90,554.90,558.60,551.25,9677415,0.28%
09 Sep 2022,553.35,549.65,557.00,548.00,18587927,1.60%
08 Sep 2022,544.65,536.00,546.30,535.50,12240707,2.21%
07 Sep 2022,532.85,534.40,537.45,531.55,8445359,-0.92%
06 Sep 2022,537.80,538.00,542.70,534.10,8657868,-0.20%
05 Sep 2022,538.90,537.00,540.80,536.30,7819994,0.41%
02 Sep 2022,536.70,537.00,537.85,531.25,10017930,0.64%
01 Sep 2022,533.30,522.25,540.90,522.25,16670228,0.39%
30 Aug 2022,531.25,518.20,532.50,517.95,14835308,3.19%
29 Aug 2022,514.85,511.30,517.00,508.75,9421339,-1.71%
26 Aug 2022,523.80,523.80,529.50,522.20,12855886,0.65%
25 Aug 2022,520.40,521.95,528.30,518.50,15473450,0.21%
24 Aug 2022,519.30,519.00,523.00,512.30,11930650,-0.50%
23 Aug 2022,521.90,508.25,524.00,508.25,8597965,2.07%
22 Aug 2022,511.30,519.00,519.90,510.00,9676954,-1.74%
19 Aug 2022,520.35,532.00,533.65,518.50,11087222,-2.25%
18 Aug 2022,532.35,526.85,534.80,526.20,9013662,0.80%
17 Aug 2022,528.15,528.85,530.55,524.35,12054183,0.42%
16 Aug 2022,525.95,533.30,533.85,525.00,10721167,-0.90%
12 Aug 2022,530.70,525.70,531.80,525.15,12154012,1.13%
11 Aug 2022,524.75,520.00,526.00,517.20,13862195,1.95%
10 Aug 2022,514.70,521.55,523.50,513.40,16904151,-1.10%
08 Aug 2022,520.40,524.00,524.00,513.85,32566317,-2.01%
05 Aug 2022,531.05,535.55,542.90,529.00,21110734,-0.41%
04 Aug 2022,533.25,543.65,544.00,524.20,18072293,-1.41%
03 Aug 2022,540.85,541.90,546.40,534.65,24262125,-0.23%
02 Aug 2022,542.10,531.90,544.90,531.10,16845027,1.56%
01 Aug 2022,533.75,529.05,535.00,526.40,8295631,1.02%
29 Jul 2022,528.35,535.05,537.00,526.75,11921058,-0.77%
28 Jul 2022,532.45,533.20,537.50,529.55,12160734,0.80%
27 Jul 2022,528.20,515.30,529.95,512.25,15101546,2.72%
26 Jul 2022,514.20,517.70,520.80,513.10,8862656,-0.70%
25 Jul 2022,517.80,513.40,519.00,509.15,10229778,0.80%
22 Jul 2022,513.70,513.45,520.20,511.20,14699129,0.32%
21 Jul 2022,512.05,509.80,513.40,506.75,13814893,0.68%
20 Jul 2022,508.60,501.00,510.60,500.40,19280117,2.14%
19 Jul 2022,497.95,488.00,498.55,488.00,11724183,1.56%
18 Jul 2022,490.30,484.55,491.50,482.10,9934786,2.34%
15 Jul 2022,479.10,482.55,484.40,474.70,6945602,-0.05%
14 Jul 2022,479.35,486.60,488.90,476.80,9385630,-1.47%
13 Jul 2022,486.50,487.75,492.45,484.55,8208853,0.32%
12 Jul 2022,484.95,485.00,491.35,483.10,7364457,-0.67%
11 Jul 2022,488.20,485.00,491.30,485.00,7704792,-0.07%
08 Jul 2022,488.55,489.00,489.90,485.15,9057231,0.37%
07 Jul 2022,486.75,484.00,488.25,481.60,11497832,1.42%
06 Jul 2022,479.95,475.15,481.00,473.90,12059857,1.65%
05 Jul 2022,472.15,475.15,480.00,471.00,12003244,-0.27%
04 Jul 2022,473.45,466.85,474.15,466.85,9186358,1.41%
01 Jul 2022,466.85,463.35,468.80,460.55,9405495,0.20%
30 Jun 2022,465.90,459.00,469.30,458.60,16926328,1.48%
29 Jun 2022,459.10,460.00,462.70,458.00,11800876,-1.11%
28 Jun 2022,464.25,458.90,465.75,458.00,13261290,0.66%
27 Jun 2022,461.20,459.95,464.85,458.05,9509175,1.53%
24 Jun 2022,454.25,455.80,460.35,453.20,10833364,0.63%
23 Jun 2022,451.40,449.00,456.45,446.00,12229833,0.84%
22 Jun 2022,447.65,448.75,451.20,444.65,11066447,-0.69%
21 Jun 2022,450.75,439.50,454.95,437.60,13801891,3.69%
20 Jun 2022,434.70,441.50,443.45,430.70,12368534,-1.43%
17 Jun 2022,441.00,440.00,447.55,437.25,14326050,-0.14%
16 Jun 2022,441.60,455.15,457.75,440.15,10780703,-2.16%
15 Jun 2022,451.35,448.95,455.45,448.60,9920926,0.73%
14 Jun 2022,448.10,445.00,449.25,443.35,11351101,0.50%
13 Jun 2022,445.85,454.00,454.05,442.10,13426836,-3.46%
10 Jun 2022,461.85,462.00,464.15,458.60,8621104,-1.09%
09 Jun 2022,466.95,468.95,470.90,462.45,12635601,-0.92%
08 Jun 2022,471.30,466.60,475.55,463.20,17168871,1.70%
07 Jun 2022,463.40,461.85,465.95,460.50,7672515,-0.06%
06 Jun 2022,463.70,464.20,465.60,456.50,10661432,-0.17%
03 Jun 2022,464.50,473.25,475.50,463.50,11306291,-1.14%
02 Jun 2022,469.85,466.90,472.35,466.15,9370989,0.33%
01 Jun 2022,468.30,468.00,472.00,464.70,9424008,0.04%
31 May 2022,468.10,474.00,476.40,465.00,15441579,-1.37%
30 May 2022,474.60,473.00,476.90,471.10,9365470,1.20%
27 May 2022,468.95,471.40,475.00,467.50,10977001,0.01%
26 May 2022,468.90,456.85,470.10,452.50,17055257,3.26%
25 May 2022,454.10,461.00,464.45,452.05,12728644,-1.72%
24 May 2022,462.05,462.40,466.80,460.20,17175179,0.25%
23 May 2022,460.90,463.10,471.40,459.50,13499415,-0.32%
20 May 2022,462.40,454.85,464.00,454.15,13596860,3.33%
19 May 2022,447.50,449.05,450.00,444.45,14201420,-2.29%
18 May 2022,458.00,467.90,468.60,457.10,15644497,-1.99%
17 May 2022,467.30,458.30,469.65,456.15,16880698,2.70%
16 May 2022,455.00,445.00,461.50,438.85,27940958,2.33%
13 May 2022,444.65,469.45,477.00,439.75,61403008,-3.89%
12 May 2022,462.65,473.00,473.00,456.35,18947096,-2.92%
11 May 2022,476.55,475.25,479.00,463.65,14771351,0.28%
10 May 2022,475.20,477.00,482.55,473.50,10884328,-0.15%
09 May 2022,475.90,477.10,483.70,473.80,13544947,-1.66%
06 May 2022,483.95,471.00,486.10,471.00,16710020,0.82%
05 May 2022,480.00,485.00,494.00,478.65,14130385,0.07%
04 May 2022,479.65,492.00,496.45,477.50,14645323,-2.31%
02 May 2022,491.00,492.65,495.00,481.30,18590895,-1.07%
29 Apr 2022,496.30,508.10,512.50,494.00,12894773,-2.21%
28 Apr 2022,507.50,499.15,510.00,496.50,12154792,2.06%
27 Apr 2022,497.25,500.00,502.80,491.85,12367342,-1.63%
26 Apr 2022,505.50,499.00,507.90,498.45,12137213,2.17%
25 Apr 2022,494.75,495.00,499.20,490.05,14057444,-1.17%
22 Apr 2022,500.60,512.90,513.50,499.00,16760456,-3.04%
21 Apr 2022,516.30,513.40,518.00,512.20,10035638,1.37%
20 Apr 2022,509.30,512.00,513.70,507.00,11881305,-0.49%
19 Apr 2022,511.80,513.25,520.95,505.10,20362934,0.45%
18 Apr 2022,509.50,512.00,515.00,504.00,14492183,-1.58%
13 Apr 2022,517.70,514.30,520.90,513.75,15440525,0.95%
12 Apr 2022,512.85,512.75,516.70,504.35,14460680,-0.40%
11 Apr 2022,514.90,513.50,522.00,513.20,12370288,-0.23%
08 Apr 2022,516.10,519.50,519.50,512.35,13572638,0.22%
07 Apr 2022,514.95,510.05,519.90,510.05,19620958,0.19%
06 Apr 2022,513.95,507.00,515.20,506.00,13738275,0.89%
05 Apr 2022,509.40,514.40,516.40,507.70,13602384,-0.59%
04 Apr 2022,512.40,509.30,514.90,506.00,16257176,0.83%
01 Apr 2022,508.20,491.00,509.75,491.00,18527226,2.97%
31 Mar 2022,493.55,494.30,497.55,492.20,10240982,-0.15%
30 Mar 2022,494.30,499.30,500.40,492.30,16461225,-0.14%
29 Mar 2022,495.00,500.00,501.40,491.70,14301429,-0.50%
28 Mar 2022,497.50,490.95,498.60,481.95,16738684,1.39%
25 Mar 2022,490.70,491.75,493.30,486.60,11541196,0.74%
24 Mar 2022,487.10,485.00,494.80,483.50,18174877,-0.72%
23 Mar 2022,490.65,498.50,502.40,489.20,15800195,-0.62%
22 Mar 2022,493.70,490.60,495.80,477.25,26157969,0.63%
21 Mar 2022,490.60,502.00,502.00,489.00,19064060,-2.25%
17 Mar 2022,501.90,499.00,503.50,498.30,22947673,1.86%
16 Mar 2022,492.75,493.00,494.30,489.40,16211288,1.42%
15 Mar 2022,485.85,489.00,490.50,480.65,27204899,0.14%
14 Mar 2022,485.15,471.00,486.00,470.55,27750689,3.15%
11 Mar 2022,470.35,466.40,474.80,462.00,22091309,0.35%
10 Mar 2022,468.70,469.90,476.65,461.65,34553299,3.76%
09 Mar 2022,451.70,442.00,454.30,438.55,32331325,2.59%
08 Mar 2022,440.30,438.00,442.10,425.00,42510207,0.00%
07 Mar 2022,440.30,447.50,453.95,433.45,33720472,-4.69%
04 Mar 2022,461.95,460.30,470.90,457.65,20684268,-1.17%
03 Mar 2022,467.40,480.00,483.40,464.60,20358590,-1.44%
02 Mar 2022,474.25,478.00,479.80,467.00,22003848,-1.85%
28 Feb 2022,483.20,476.90,485.30,473.10,18069367,0.05%
25 Feb 2022,482.95,480.00,491.90,479.30,21792287,2.18%
24 Feb 2022,472.65,480.00,487.95,468.00,32356037,-5.22%
23 Feb 2022,498.70,503.00,505.35,497.25,13899433,0.06%
22 Feb 2022,498.40,500.90,505.30,495.50,27108772,-2.63%
21 Feb 2022,511.85,511.55,517.50,504.65,16866932,-0.67%
18 Feb 2022,515.30,510.10,520.90,510.10,15111223,0.46%
17 Feb 2022,512.95,520.00,520.00,511.15,16408356,-0.73%
16 Feb 2022,516.70,526.50,528.00,514.00,19773807,-1.54%
15 Feb 2022,524.80,502.00,526.85,497.10,23842951,4.67%
14 Feb 2022,501.40,515.00,515.60,499.70,26153332,-5.32%
11 Feb 2022,529.60,536.25,537.70,527.10,14607095,-2.03%
10 Feb 2022,540.55,537.10,543.95,534.40,18659370,0.99%
09 Feb 2022,535.25,534.95,536.50,527.75,14856155,0.73%
08 Feb 2022,531.35,535.50,537.65,519.00,26567546,-0.36%
07 Feb 2022,533.25,531.90,549.00,525.25,52289545,0.56%
04 Feb 2022,530.30,542.15,546.40,527.30,25332894,-1.81%
03 Feb 2022,540.10,537.15,544.70,537.15,22717677,0.06%
02 Feb 2022,539.80,536.65,544.25,531.35,21661864,1.41%
01 Feb 2022,532.30,543.95,543.95,520.00,32245356,-1.11%
31 Jan 2022,538.30,529.00,540.90,527.05,28674232,2.84%
28 Jan 2022,523.45,534.00,536.40,521.40,24715250,-1.04%
27 Jan 2022,528.95,503.55,530.85,503.20,35409230,2.78%
25 Jan 2022,514.65,490.00,517.50,489.00,21791739,4.15%
24 Jan 2022,494.15,502.40,506.80,488.00,20233933,-1.70%
21 Jan 2022,502.70,505.30,507.50,498.00,16947941,-1.70%
20 Jan 2022,511.40,516.00,519.15,508.00,17724642,-0.85%
19 Jan 2022,515.80,505.00,517.65,500.30,16079457,1.78%
18 Jan 2022,506.80,514.00,517.45,505.00,12592506,-1.40%
17 Jan 2022,514.00,508.00,518.90,507.55,17422211,1.11%
14 Jan 2022,508.35,509.00,510.35,505.15,8724574,-0.59%
13 Jan 2022,511.35,510.00,512.85,507.00,10450974,0.22%
12 Jan 2022,510.25,509.90,513.50,508.50,14489616,0.85%
11 Jan 2022,505.95,503.00,507.80,499.25,16107950,0.46%
10 Jan 2022,503.65,493.35,504.95,492.50,15832274,2.52%
07 Jan 2022,491.25,493.45,501.95,489.45,22746330,-0.09%
06 Jan 2022,491.70,487.70,494.40,485.40,18190843,-0.14%
05 Jan 2022,492.40,481.90,495.00,479.15,24694169,1.84%
04 Jan 2022,483.50,472.50,484.70,471.05,23296671,2.70%
03 Jan 2022,470.80,462.00,472.00,460.10,13124509,2.25%
31 Dec 2021,460.45,454.25,461.40,453.10,10005842,1.94%
30 Dec 2021,451.70,452.75,454.90,448.50,28879190,-0.59%
29 Dec 2021,454.40,461.00,462.15,451.40,11757303,-1.47%
28 Dec 2021,461.20,461.20,462.90,459.05,8832210,0.69%
27 Dec 2021,458.05,453.70,460.50,450.55,8856482,0.24%
24 Dec 2021,456.95,462.60,463.60,452.20,13221159,-1.05%
23 Dec 2021,461.80,461.00,465.00,457.75,14471377,1.31%
22 Dec 2021,455.85,450.00,457.30,449.00,13102553,2.21%
21 Dec 2021,446.00,457.05,458.25,444.50,16617447,-0.71%
20 Dec 2021,449.20,459.00,464.00,443.00,22336114,-3.98%
17 Dec 2021,467.80,480.05,481.40,466.50,12648603,-2.77%
16 Dec 2021,481.15,488.35,490.55,478.25,11107781,-0.75%
15 Dec 2021,484.80,490.00,491.00,483.50,8639835,-0.77%
14 Dec 2021,488.55,486.00,490.35,481.80,11642447,0.15%
13 Dec 2021,487.80,497.75,500.45,486.35,14047645,-1.39%
10 Dec 2021,494.70,488.50,495.95,484.40,13261408,1.24%
09 Dec 2021,488.65,492.30,493.50,486.10,12560970,-0.59%
08 Dec 2021,491.55,480.90,492.40,480.25,20397660,3.12%
07 Dec 2021,476.70,469.20,479.70,469.20,13644942,2.45%
06 Dec 2021,465.30,473.15,477.00,463.80,14353300,-1.66%
03 Dec 2021,473.15,475.75,481.50,470.05,16653993,-0.81%
02 Dec 2021,477.00,474.50,478.15,470.95,12962679,0.36%
01 Dec 2021,475.30,464.45,477.25,464.00,17156956,3.20%
30 Nov 2021,460.55,468.00,477.25,458.00,23026652,-0.98%
29 Nov 2021,465.10,470.00,477.75,454.30,22407465,-1.15%
26 Nov 2021,470.50,486.25,487.90,467.10,26305817,-4.09%
25 Nov 2021,490.55,490.00,495.45,486.30,12894211,-0.53%
24 Nov 2021,493.15,495.80,500.00,489.05,13963769,0.02%
23 Nov 2021,493.05,485.25,495.40,480.00,20000371,1.37%
22 Nov 2021,486.40,506.00,506.00,477.50,28800269,-3.45%
18 Nov 2021,503.80,499.10,506.20,492.30,22471070,1.13%
17 Nov 2021,498.15,493.85,505.40,491.00,20488483,0.62%
16 Nov 2021,495.10,507.40,507.40,493.50,19553216,-2.26%
15 Nov 2021,506.55,512.40,515.90,505.50,13328183,-0.94%
12 Nov 2021,511.35,512.00,513.00,502.70,19836221,0.34%
11 Nov 2021,509.60,522.85,522.85,507.10,23086898,-2.82%
10 Nov 2021,524.40,525.55,528.50,521.50,15805538,-0.90%
09 Nov 2021,529.15,526.25,532.00,522.20,25451967,1.13%
08 Nov 2021,523.25,534.45,534.45,516.45,36802110,-1.36%
04 Nov 2021,530.45,531.50,535.90,528.05,9796046,0.53%
03 Nov 2021,527.65,524.00,542.30,515.20,80775924,1.14%
02 Nov 2021,521.70,514.80,525.00,512.05,26797820,1.16%
01 Nov 2021,515.70,508.50,516.95,501.00,20679604,2.70%
29 Oct 2021,502.15,501.50,512.65,488.40,31355893,0.16%
28 Oct 2021,501.35,519.60,520.55,497.60,28140401,-3.43%
27 Oct 2021,519.15,513.70,526.85,512.75,29463032,1.29%
26 Oct 2021,512.55,507.60,518.20,507.60,21107457,1.19%
25 Oct 2021,506.50,506.50,515.45,497.85,35619415,0.71%
22 Oct 2021,502.95,504.60,508.70,500.00,24080485,0.00%
21 Oct 2021,502.95,504.90,506.50,491.75,20808243,0.61%
20 Oct 2021,499.90,488.80,507.50,483.10,34080545,2.40%
19 Oct 2021,488.20,500.35,504.20,483.25,20645100,-1.96%
18 Oct 2021,497.95,494.00,501.00,491.70,20084248,1.50%
14 Oct 2021,490.60,482.00,493.90,482.00,23431826,1.85%
13 Oct 2021,481.70,486.15,486.15,478.00,17638983,-0.27%
12 Oct 2021,483.00,470.00,484.40,468.10,33763609,2.93%
11 Oct 2021,469.25,460.00,474.95,458.65,20686981,2.46%
08 Oct 2021,458.00,461.90,464.00,454.25,16521128,0.02%
07 Oct 2021,457.90,462.10,464.00,457.10,9984651,0.15%
06 Oct 2021,457.20,465.00,471.00,453.65,19056690,-1.61%
05 Oct 2021,464.70,462.00,469.00,458.70,16487568,0.33%
04 Oct 2021,463.15,453.80,464.40,451.60,16246765,2.55%
01 Oct 2021,451.65,448.50,455.55,443.80,14777309,-0.30%
30 Sep 2021,453.00,459.95,464.90,451.40,26530369,-1.52%
29 Sep 2021,460.00,441.85,462.30,439.10,38635938,3.39%
28 Sep 2021,444.90,449.20,455.80,439.60,19241170,-0.38%
27 Sep 2021,446.60,444.90,450.55,442.25,11746892,1.33%
24 Sep 2021,440.75,451.10,451.90,440.00,10731274,-2.01%
23 Sep 2021,449.80,442.40,451.15,442.05,20516770,2.50%
22 Sep 2021,438.85,438.90,442.80,436.10,14321143,0.01%
21 Sep 2021,438.80,440.15,441.35,432.65,17279588,0.31%
